%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	ethVlanID	srcIP	srcIPCC	srcIPWho	srcPort	dstIP	dstIPCC	dstIPWho	dstPort	l4Proto	macPairs	srcMac_dstMac_numP	srcManuf_dstManuf	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipTOS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSz0	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpTmS	tcpTmER	tcpEcI	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStates	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmptmgtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF
A	2	0x0000000000000044	1448908676.512019	1448908772.254195	95.742176	1	2	eth:arp	0	0.0.0.0	--	"--"	0	0.0.0.0	--	"--"	0	0	1	00:1c:c0:b0:19:5b_00:19:d1:84:34:6d_2	IntelCor_IntelCor	0	unknown	2	2	92	56	46	46	46	0	0	95.74217	47.87109	33.84997	0.02088944	0.9609141	0	0.2432432	0x0001	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x00	0x0000	0	0	0x00000000	0	0	0	0	0	0.000000	0	65535	0	0	0	0	-1	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	2	2	2
B	2	0x0000000000000045	1448908676.512033	1448908772.254211	95.742178	1	2	eth:arp	0	0.0.0.0	--	"--"	0	0.0.0.0	--	"--"	0	0	1	00:19:d1:84:34:6d_00:1c:c0:b0:19:5b_2	IntelCor_IntelCor	0	unknown	2	2	56	92	28	28	28	0	0	95.74218	47.87109	33.84997	0.02088943	0.5849042	0	-0.2432432	0x0001	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x00	0x0000	0	0	0x00000000	0	0	0	0	0	0.000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1
A	3	0x0000000000000044	1448909695.756850	1448909695.756850	0.000000	1	2	eth:arp	0	0.0.0.0	--	"--"	0	0.0.0.0	--	"--"	0	0	1	00:1c:c0:b0:19:5b_00:19:d1:84:34:6d_1	IntelCor_IntelCor	0	unknown	1	1	46	28	46	46	46	0	0	0	0	0	0	0	0	0.2432432	0x0001	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x00	0x0000	0	0	0x00000000	0	0	0	0	0	0.000000	0	65535	0	0	0	0	-1	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	2	2	2
B	3	0x0000000000000045	1448909695.756858	1448909695.756858	0.000000	1	2	eth:arp	0	0.0.0.0	--	"--"	0	0.0.0.0	--	"--"	0	0	1	00:19:d1:84:34:6d_00:1c:c0:b0:19:5b_1	IntelCor_IntelCor	0	unknown	1	1	28	46	28	28	28	0	0	0	0	0	0	0	0	-0.2432432	0x0001	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x00	0x0000	0	0	0x00000000	0	0	0	0	0	0.000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1
A	4	0x0000000000000044	1448910133.124802	1448910133.124802	0.000000	1	2	eth:arp	0	0.0.0.0	--	"--"	0	0.0.0.0	--	"--"	0	0	1	00:1c:c0:b0:19:5b_00:19:d1:84:34:6d_1	IntelCor_IntelCor	0	unknown	1	1	46	28	46	46	46	0	0	0	0	0	0	0	0	0.2432432	0x0001	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x00	0x0000	0	0	0x00000000	0	0	0	0	0	0.000000	0	65535	0	0	0	0	-1	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	2	2	2
B	4	0x0000000000000045	1448910133.124808	1448910133.124808	0.000000	1	2	eth:arp	0	0.0.0.0	--	"--"	0	0.0.0.0	--	"--"	0	0	1	00:19:d1:84:34:6d_00:1c:c0:b0:19:5b_1	IntelCor_IntelCor	0	unknown	1	1	28	46	28	28	28	0	0	0	0	0	0	0	0	-0.2432432	0x0001	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x00	0x0000	0	0	0x00000000	0	0	0	0	0	0.000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1
A	5	0x0000000000000044	1448911210.352827	1448911210.352827	0.000000	1	2	eth:arp	0	0.0.0.0	--	"--"	0	0.0.0.0	--	"--"	0	0	1	00:1c:c0:b0:19:5b_00:19:d1:84:34:6d_1	IntelCor_IntelCor	0	unknown	1	1	46	28	46	46	46	0	0	0	0	0	0	0	0	0.2432432	0x0001	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x00	0x0000	0	0	0x00000000	0	0	0	0	0	0.000000	0	65535	0	0	0	0	-1	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	2	2	2
B	5	0x0000000000000045	1448911210.352839	1448911210.352839	0.000000	1	2	eth:arp	0	0.0.0.0	--	"--"	0	0.0.0.0	--	"--"	0	0	1	00:19:d1:84:34:6d_00:1c:c0:b0:19:5b_1	IntelCor_IntelCor	0	unknown	1	1	28	46	28	28	28	0	0	0	0	0	0	0	0	-0.2432432	0x0001	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x00	0x0000	0	0	0x00000000	0	0	0	0	0	0.000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1
A	6	0x0000000000008000	1448911653.835023	1448911653.835023	0.000000	1	3	eth:ipv6:udp	0	fe80::21c:c0ff:feb0:195b	01	"private_reserved"	5353	ff02::fb	04	"multicast"	5353	17	1	00:1c:c0:b0:19:5b_33:33:00:00:00:fb_1	IntelCor_	5353	mdns	1	0	45	0	45	45	45	0	0	0	0	0	0	0	1	1	0x0100	65535	0	255	255	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x00	0x0000	0	0	0x00000000	0	0	0	0	0	0.000000	0	65535	0	0	0	0	-1	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1
A	7	0x0000000000000044	1448911841.508705	1448911841.508705	0.000000	1	2	eth:arp	0	0.0.0.0	--	"--"	0	0.0.0.0	--	"--"	0	0	1	00:1c:c0:b0:19:5b_00:19:d1:84:34:6d_1	IntelCor_IntelCor	0	unknown	1	1	46	28	46	46	46	0	0	0	0	0	0	0	0	0.2432432	0x0001	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x00	0x0000	0	0	0x00000000	0	0	0	0	0	0.000000	0	65535	0	0	0	0	-1	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	2	2	2
